,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
260,388,388,High Desert Motel,3.75,20,61310 29 Palms Hwy,34.13495,-116.325745,1,0,1,4,14,0,0,1,11,8,3.85,"{'business': {1: 4.0}, 'room': {4: 3.25}, 'service': {2: 3.5}, 'food': {3: 4.0}, 'pet-friendly': {2: 3.0}, 'comfort': {1: 3.0}, 'bathroom': {1: 3.0}, 'cleanliness': {2: 3.5}, 'lounge': {2: 3.0}}","{'open': 18, 'guest': 9, 'computer': 9, 'center': 9, 'strong': 9, 'wall': 9, 'flash': 9, 'drive': 9, 'documents': 9, 'micro': 9}",{},static
538,389,389,Super 8 Cloquet,3.75,20,121 Big Lake Rd,46.713882,-92.46476,0,0,2,6,12,0,3,2,7,8,3.31,"{'room': {5: 3.4}, 'bathroom': {1: 4.0}, 'location': {1: 1.0}, 'internet': {1: 1.0}, 'value': {1: 4.0}, 'cleanliness': {1: 4.0}}","{'room': 18, 'water': 10, 'sink': 10, 'staff': 10, 'crumbly': 6, 'things': 6, 'crock': 6, 'pot': 8, 'scrambled': 6, 'eggs': 6}","{'free': 16, 'room': 8, 'offered': 8, 'coffee': 8, 'location': 8, 'tollway': 8, 'beat': 8, 'cancelled': 5, 'reservation': 5, 'stifling': 4}",static
421,390,390,Motel 6 Fort Bragg,2.45,20,400 S Main St,39.43815,-123.80602,0,4,6,8,2,0,1,6,11,2,3.02,"{'comfort': {1: 3.0}, 'room': {4: 2.5}, 'cleanliness': {2: 2.5}, 'parking': {1: 3.0}, 'service': {1: 3.0}, 'pet-friendly': {1: 3.0}, 'location': {1: 3.0}}","{'stay': 6, 'good': 6, 'excellent': 6, 'cold': 2}","{'construction': 6, 'bad': 5, 'place': 5, 'dirty': 5, 'nights': 4, 'labor': 4, 'day': 4, 'weekend': 4, 'family': 4, 'located': 4}",static
263,391,391,Hilton Garden Inn Burlington Downtown,3.95,20,101 Main St,44.47582,-73.21555,0,2,0,1,17,0,0,2,6,12,3.9,"{'comfort': {1: 2.0}, 'room': {7: 3.2857142857142856}, 'cleanliness': {3: 3.6666666666666665}, 'sleep': {1: 4.0}}","{'room': 16, 'hotel': 17, 'experience': 12, 'free': 10, 'guests': 8, 'stayed': 8, 'towels': 7, 'hanging': 7, 'questioning': 7, 'properly': 7}","{'reeked': 9, 'room': 8, 'comfortable': 8, 'temperature': 8, 'challenge': 8, 'halls': 1, 'marijuana': 2}",static
306,392,392,Homewood Suites Dallas-market Center,4.35,20,2747 N Stemmans Fwy,32.80911,-96.847855,0,2,0,1,17,0,0,2,4,14,3.89,"{'room': {3: 4.0}, 'bathroom': {1: 4.0}, 'quiet': {1: 4.0}, 'cleanliness': {1: 4.0}, 'business': {1: 3.0}}","{'facility': 9, 'travel': 9, 'quiet': 6, 'area': 6, 'week': 4, 'refund': 4, 'manner': 4, 'flat': 4, 'screen': 4, 'big': 4}","{'called': 7, 'number': 7, 'door': 7, 'left': 7, 'night': 7, 'town': 5, 'late': 5, 'motels': 5, 'takenwe': 1}",static
554,393,393,Super 8 Motel Fairmont,3.6,20,1201 Torgerson Dr,43.676471,-94.446189,0,0,4,4,12,0,1,1,11,7,3.58,"{'room': {7: 3.5714285714285716}, 'cleanliness': {4: 3.5}, 'quiet': {1: 2.0}}","{'room': 10, 'spent': 5, 'night': 5, 'microwave': 5, 'refrigerator': 5, 'upscale': 4, 'luggage': 4, 'cart': 4, 'water': 4, 'breakfast': 4}","{'appearing': 12, 'quiet': 12, 'recommend': 4}",static
28,394,394,Aspen Haus Bed and Breakfast,4.7,20,18 Hematite Pl,63.877674,-149.00726,0,0,0,1,19,0,0,0,9,11,3.9,"{'room': {2: 3.5}, 'internet': {1: 4.0}, 'cleanliness': {3: 3.0}, 'comfort': {1: 3.0}}","{'owner': 9, 'shower': 7, 'head': 7, 'broken': 7, 'unusable': 7, 'northern': 6, 'outskirts': 6, 'street': 6, 'railroad': 6, 'tracks': 6}",{},static
614,395,395,Wyndham Vacation Resorts Towers On The Grove,4.05,20,2100 N Ocean Blvd,33.82734,-78.645195,0,1,2,1,16,0,1,4,9,6,3.41,"{'comfort': {2: 3.0}, 'cleanliness': {4: 2.25}, 'service': {1: 2.0}, 'room': {6: 2.6666666666666665}, 'business': {1: 2.0}, 'value': {1: 1.0}}","{'price': 10, 'microwave': 5, 'helpful': 5, 'great': 5, 'place': 5, 'stay': 5, 'comfortable': 4, 'bed': 4, 'pillows': 4, 'online': 4}","{'stayed': 24, 'couple': 24, 'times': 24, 'room': 12, 'clean': 11, 'kind': 8, 'comfortable': 7, 'bed': 11, 'pillows': 7, 'max': 5}",static
455,396,396,Quality Inn & Suites Hanes Mall,3.3,20,2008 S Hawthorne Rd,36.07896,-80.29879,0,3,4,4,9,0,1,3,6,10,3.67,"{'food': {1: 5.0}, 'lounge': {1: 2.0}, 'comfort': {2: 1.5}, 'room': {3: 3.6666666666666665}, 'air-conditioner': {1: 4.0}, 'bathroom': {2: 3.5}}","{'shower': 6, 'valves': 6, 'hand': 8, 'stay': 5, 'dirty': 5, 'sofa': 5, 'room': 15, 'cigarette': 5, 'burns': 5, 'air': 5}","{'hotel': 5, 'embarrassing': 5, 'environment': 5, 'community': 5, 'unpleased': 5, 'review': 4, 'ideas': 4, 'staying': 4, 'comfort': 1, 'inn': 1}",static
54,397,397,Best Western Plus Humboldt House Inn,3.9,20,701 Redwood Dr,40.101941,-123.794454,0,0,3,1,16,0,1,1,4,14,3.89,"{'room': {4: 3.0}, 'cleanliness': {3: 3.6666666666666665}, 'quiet': {1: 4.0}, 'sleep': {1: 4.0}, 'lounge': {2: 4.0}}","{'early': 14, 'clean': 12, 'arrived': 9, 'vanity': 8, 'bath': 8, 'person': 8, 'ready': 8, 'quiet': 8, 'door': 8, 'evening': 7}","{'travel': 5, 'dog': 5, 'room': 5, 'short': 5, 'drive': 5, 'town': 5, 'agree': 5, 'reviewer': 5, 'complained': 5, 'noisy': 5}",static
