,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
309,81,81,Hotel Aura Sfo,3.96,96,190 El Camino Real,37.617582,-122.408516,1,0,3,23,69,0,2,8,34,52,3.8,"{'food': {5: 4.0}, 'service': {2: 4.0}, 'lounge': {2: 3.0}, 'spa': {4: 3.25}, 'room': {14: 3.5714285714285716}, 'cleanliness': {4: 4.25}, 'bathroom': {2: 4.0}, 'business': {1: 5.0}, 'comfort': {4: 2.25}, 'location': {2: 2.5}, 'quiet': {2: 2.5}, 'sleep': {1: 2.0}}","{'asked': 19, 'time': 18, 'patio': 10, 'great': 10, 'clean': 10, 'night': 10, 'thankful': 8, 'missing': 8, 'extra': 7, 'inviting': 7}","{'charming': 20, 'enjoyed': 18, 'stay': 18, 'bartender': 15, 'lady': 15, 'comfortable': 14, 'good': 11, 'bed': 12, 'mattress': 9, 'squeaky': 9}",static
386,82,82,Lamothe House,4.19,96,621 Esplanade Ave,29.9632203,-90.059329,0,2,6,13,75,0,3,10,20,63,4.02,"{'spa': {4: 3.75}, 'room': {24: 3.625}, 'comfort': {4: 3.0}, 'bathroom': {1: 1.0}, 'cleanliness': {7: 3.5714285714285716}, 'location': {7: 3.5714285714285716}, 'service': {3: 4.333333333333333}, 'business': {1: 5.0}, 'air-conditioner': {1: 4.0}, 'quiet': {1: 4.0}}","{'great': 24, 'room': 25, 'place': 15, 'stay': 25, 'bed': 13, 'setting': 11, 'park': 12, 'walk': 11, 'shuttle': 10, 'hot': 28}","{'hotel': 17, 'room': 24, 'located': 13, 'beautiful': 13, 'location': 26, 'great': 13, 'uncomfortable': 10, 'beds': 10, 'slept': 10, 'apartment': 7}",static
25,83,83,Arizona Inn of Prescott Valley,3.13,95,7875 E Hwy 69,34.585531,-112.326875,0,12,18,24,41,0,17,21,29,28,3.0,"{'bathroom': {5: 3.4}, 'room': {26: 3.076923076923077}, 'cleanliness': {9: 2.4444444444444446}, 'pet-friendly': {2: 3.5}, 'spa': {1: 5.0}, 'comfort': {5: 1.8}, 'lounge': {1: 3.0}, 'parking': {1: 5.0}, 'location': {1: 3.0}, 'sleep': {2: 3.5}, 'service': {3: 2.6666666666666665}}","{'room': 41, 'hotel': 11, 'key': 9, 'stay': 11, 'nice': 8, 'fee': 8, 'bad': 6, 'toilet': 6, 'flush': 6, 'holes': 6}","{'room': 53, 'stay': 28, 'dirty': 20, 'walls': 19, 'check': 19, 'smoking': 14, 'looked': 13, 'money': 12, 'comfortable': 12, 'staff': 12}",static
90,84,84,Casa Del Mar Inn Bandb,3.93,95,18 Bath St,34.409581,-119.693387,0,0,6,22,67,0,5,2,31,57,4.01,"{'room': {17: 3.588235294117647}, 'location': {1: 4.0}, 'service': {1: 4.0}, 'cleanliness': {8: 4.125}, 'comfort': {5: 3.8}, 'food': {1: 5.0}, 'air-conditioner': {2: 2.5}, 'sleep': {1: 3.0}, 'bathroom': {2: 5.0}, 'value': {1: 4.0}, 'quiet': {1: 3.0}, 'internet': {2: 4.0}, 'lounge': {1: 3.0}}","{'great': 21, 'stay': 31, 'nice': 20, 'desk': 12, 'staff': 13, 'sheets': 9, 'lot': 10, 'years': 9, 'close': 9, 'places': 9}","{'changed': 16, 'frankly': 16, 'air': 8, 'wife': 8, 'enjoyed': 8, 'lovely': 8, 'room': 5, 'staying': 4, 'fact': 4, 'nice': 4}",static
81,85,85,Campus Inn & Suites Eugene Downtown,3.34,94,390 E Broadway,44.04972643,-123.0867326,0,7,16,26,45,0,6,16,29,43,3.64,"{'room': {16: 3.125}, 'quiet': {2: 2.5}, 'cleanliness': {8: 3.125}, 'comfort': {5: 3.4}, 'spa': {2: 3.0}, 'air-conditioner': {1: 3.0}, 'pet-friendly': {2: 3.0}, 'sleep': {1: 3.0}, 'bathroom': {2: 2.0}, 'internet': {1: 4.0}}","{'hotel': 14, 'stay': 12, 'price': 10, 'comfortable': 9, 'night': 8, 'family': 8, 'motel': 8, 'breakfast': 8, 'amenities': 7, 'place': 10}","{'room': 28, 'clean': 22, 'stayed': 19, 'night': 21, 'easy': 14, 'breakfast': 14, 'personnel': 14, 'hotel': 14, 'pay': 14, 'tax': 14}",static
245,86,86,Hampton Inn Fayetteville Fort Bragg,4.04,94,1700 Skibo Rd,35.07617,-78.96096,0,3,6,14,71,0,6,15,23,50,3.69,"{'service': {1: 3.0}, 'spa': {4: 3.5}, 'room': {19: 3.5789473684210527}, 'cleanliness': {2: 4.0}, 'parking': {2: 3.5}, 'sleep': {2: 4.0}, 'quiet': {2: 3.0}, 'bathroom': {2: 4.5}, 'location': {4: 3.25}, 'comfort': {3: 3.6666666666666665}, 'internet': {1: 3.0}, 'pet-friendly': {2: 3.5}, 'lounge': {1: 4.0}}","{'room': 52, 'nice': 24, 'wine': 22, 'cheese': 15, 'breakfast': 14, 'walk': 19, 'thing': 10, 'threw': 9, 'heard': 9, 'neighbor': 9}","{'ugly': 14, 'hotel': 17, 'room': 9, 'good': 9, 'older': 8, 'pool': 8, 'spa': 8, 'large': 8, 'kids': 8, 'enjoyed': 8}",static
341,87,87,Hyatt Place Pittsburgh Cranberry,4.31,94,136 Emeryville Dr,40.67519,-80.10058,0,0,1,19,74,0,1,9,21,63,4.15,"{'quiet': {2: 4.5}, 'spa': {3: 4.0}, 'room': {26: 3.923076923076923}, 'cleanliness': {4: 5.0}, 'location': {9: 4.111111111111111}, 'air-conditioner': {1: 3.0}, 'lounge': {5: 4.0}, 'comfort': {3: 4.666666666666667}, 'parking': {3: 5.0}, 'bathroom': {4: 4.0}, 'sleep': {1: 4.0}, 'service': {1: 4.0}}","{'day': 16, 'free': 7, 'wifi': 6, 'loved': 6, 'linens': 5, 'wall': 5, 'lamps': 5, 'huge': 5, 'ugly': 5, 'desk': 5}","{'design': 13, 'perfect': 13, 'location': 13, 'fine': 4, 'places': 3, 'area': 3, 'decidedly': 3, 'average': 3, 'breakfast': 2, 'felt': 2}",static
487,88,88,Residence Inn By Marriott Irvine John Wayne Airport,4.34,92,2855 Main St,33.67971,-117.837279,0,2,2,9,79,0,4,11,20,57,4.0,"{'cleanliness': {9: 4.0}, 'quiet': {2: 3.0}, 'spa': {2: 4.0}, 'room': {15: 3.7333333333333334}, 'air-conditioner': {1: 5.0}, 'pet-friendly': {1: 5.0}, 'comfort': {5: 3.0}, 'bathroom': {2: 4.0}, 'location': {1: 4.0}, 'service': {3: 3.6666666666666665}, 'lounge': {1: 4.0}}","{'staff': 17, 'room': 30, 'town': 13, 'family': 11, 'charged': 10, 'narrow': 9, 'overlooking': 9, 'good': 9, 'convenient': 9, 'area': 8}","{'hotel': 16, 'expensive': 15, 'helpful': 12, 'nice': 12, 'beds': 11, 'fridge': 7, 'microwave': 7, 'worst': 6, 'place': 6, 'quiet': 6}",static
481,89,89,Red Roof Inn St Louis - Troy,3.92,92,2030 Formosa Rd,38.734557,-89.913938,0,1,8,17,66,0,8,15,27,42,3.49,"{'food': {1: 3.0}, 'location': {2: 4.0}, 'quiet': {2: 2.5}, 'parking': {2: 3.5}, 'comfort': {4: 2.5}, 'room': {16: 3.4375}, 'service': {1: 5.0}, 'cleanliness': {10: 3.5}, 'spa': {2: 5.0}, 'sleep': {3: 2.6666666666666665}, 'bathroom': {1: 4.0}, 'pet-friendly': {1: 4.0}, 'business': {1: 2.0}, 'air-conditioner': {1: 2.0}}","{'hotel': 19, 'night': 15, 'friendly': 12, 'safe': 19, 'accommodating': 11, 'walked': 10, 'nice': 10, 'good': 11, 'distance': 8, 'luck': 8}","{'hotel': 14, 'tired': 9, 'sleeping': 9, 'breakfast': 8, 'enjoyed': 8, 'business': 8, 'hit': 8, 'room': 14, 'nice': 10, 'step': 7}",static
276,90,90,Holiday Inn Express & Suites West Monroe,3.55,92,603 Constitution Dr,32.510229,-92.169395,0,3,18,23,48,0,8,32,27,25,3.07,"{'food': {2: 2.0}, 'location': {10: 2.5}, 'cleanliness': {12: 2.3333333333333335}, 'room': {14: 2.357142857142857}, 'parking': {3: 2.6666666666666665}, 'internet': {1: 2.0}, 'comfort': {4: 2.25}, 'quiet': {2: 2.0}, 'service': {1: 2.0}, 'value': {1: 2.0}, 'bathroom': {1: 3.0}, 'business': {2: 3.5}, 'spa': {1: 3.0}}","{'awesome': 14, 'great': 13, 'nice': 11, 'good': 8, 'staff': 8, 'friendly': 8, 'breakfast': 8, 'tile': 7, 'floors': 7, 'clean': 14}","{'clean': 26, 'furniture': 24, 'good': 23, 'spots': 20, 'sit': 21, 'pretty': 20, 'gross': 20, 'stay': 27, 'close': 18, 'staff': 18}",static
197,91,91,Extended Stay America - Orlando Theme Parks - Vineland Rd.,3.33,91,5610 Vineland Rd,28.482007,-81.455546,0,7,14,29,41,0,12,16,18,45,3.44,"{'location': {4: 3.5}, 'service': {4: 3.75}, 'cleanliness': {9: 3.6666666666666665}, 'room': {16: 3.5}, 'food': {1: 4.0}, 'lounge': {1: 2.0}, 'comfort': {4: 3.0}, 'business': {3: 3.6666666666666665}, 'spa': {2: 3.5}, 'value': {1: 4.0}}","{'good': 25, 'room': 23, 'night': 20, 'stay': 23, 'pool': 15, 'hour': 12, 'arrival': 12, 'spent': 12, 'miserable': 12, 'friendly': 8}","{'stay': 27, 'clean': 18, 'staff': 13, 'pool': 13, 'great': 12, 'breakfast': 11, 'hot': 33, 'tub': 10, 'enjoyable': 10, 'bit': 10}",static
458,92,92,Quality Inn Long Beach Airport,2.82,90,3201 E Pacific Coast Hwy,33.790227,-118.154554,0,13,27,21,29,0,19,29,19,23,2.82,"{'room': {20: 2.3}, 'cleanliness': {11: 2.1818181818181817}, 'comfort': {7: 2.5714285714285716}, 'internet': {1: 1.0}, 'quiet': {4: 1.5}, 'business': {2: 4.0}, 'food': {2: 2.5}, 'pet-friendly': {5: 1.8}, 'bathroom': {1: 3.0}, 'service': {1: 4.0}}","{'ice': 11, 'area': 6, 'pool': 5, 'place': 5, 'exit': 4, 'business': 4, 'stay': 5, 'wished': 3, 'breakfast': 3, 'building': 3}","{'room': 44, 'breakfast': 42, 'area': 21, 'family': 17, 'turn': 16, 'hotel': 16, 'childs': 15, 'water': 15, 'bottle': 15, 'crew': 15}",static
544,93,93,Super 8 Fort Collins,3.42,89,409 Centro Way,40.5833,-105.00756,0,8,8,24,49,0,8,22,23,36,3.32,"{'food': {1: 4.0}, 'room': {14: 3.2142857142857144}, 'cleanliness': {7: 3.142857142857143}, 'comfort': {3: 2.3333333333333335}, 'sleep': {2: 2.5}, 'service': {3: 3.0}, 'location': {2: 2.5}, 'parking': {1: 2.0}, 'bathroom': {2: 4.0}}","{'accommodating': 13, 'room': 16, 'customer': 9, 'breakfast': 9, 'stay': 12, 'told': 8, 'clean': 6, 'small': 6, 'nice': 6, 'highway': 5}","{'room': 31, 'called': 19, 'daughter': 26, 'breakfast': 11, 'lot': 17, 'people': 11, 'town': 11, 'day': 11, 'arrival': 11, 'explain': 11}",static
485,94,94,Residence Inn By Marriott Fort Lauderdale Weston,4.37,87,2605 Weston Rd,26.085576,-80.372269,0,2,5,4,76,0,3,9,15,60,3.98,"{'room': {24: 3.7916666666666665}, 'bathroom': {5: 3.8}, 'cleanliness': {11: 3.4545454545454546}, 'service': {1: 3.0}, 'value': {1: 4.0}, 'comfort': {8: 4.0}, 'pet-friendly': {1: 3.0}, 'spa': {2: 4.5}, 'location': {2: 3.5}}","{'room': 60, 'stay': 29, 'clean': 26, 'place': 15, 'needed': 13, 'bed': 17, 'comfortable': 12, 'hand': 17, 'hair': 9, 'wanted': 9}","{'night': 29, 'stayed': 23, 'honeymoon': 18, 'good': 11, 'beds': 7, 'breakfast': 7, 'elevator': 7, 'provided': 6, 'hotel': 6, 'room': 8}",static
287,95,95,Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,3.63,87,50 N E Catawba Rd,41.52469,-82.85883,1,10,8,12,56,0,8,15,21,43,3.55,"{'spa': {1: 2.0}, 'room': {16: 3.1875}, 'cleanliness': {8: 3.375}, 'gym': {1: 4.0}, 'pet-friendly': {2: 3.5}, 'comfort': {2: 3.0}, 'bathroom': {2: 2.5}, 'location': {2: 3.5}, 'parking': {3: 2.6666666666666665}, 'sleep': {1: 5.0}, 'service': {1: 4.0}}","{'good': 14, 'nice': 12, 'daughter': 12, 'strong': 11, 'stay': 28, 'breakfast': 10, 'night': 11, 'family': 9, 'area': 9, 'walk': 12}","{'hotel': 28, 'room': 23, 'drive': 16, 'area': 14, 'great': 15, 'feeling': 13, 'felt': 13, 'safe': 17, 'door': 8, 'double': 8}",static
130,96,96,Country Inn and Suites By Carlson Corbin,3.99,87,1888 Cumberland Falls Hwy,36.920051,-84.127582,0,2,5,16,64,0,2,15,26,44,3.7,"{'quiet': {5: 3.4}, 'food': {3: 3.6666666666666665}, 'cleanliness': {2: 2.5}, 'lounge': {3: 3.6666666666666665}, 'room': {8: 3.375}, 'comfort': {2: 3.5}, 'spa': {1: 4.0}, 'pet-friendly': {1: 3.0}, 'service': {3: 3.6666666666666665}, 'internet': {4: 3.25}, 'business': {1: 2.0}, 'location': {1: 2.0}}","{'reception': 19, 'hotel': 27, 'staff': 18, 'room': 11, 'fait': 13, 'jours': 10, 'received': 8, 'update': 8, 'perfect': 7, 'place': 7}","{'restaurants': 7, 'staff': 7, 'delightful': 7, 'scenery': 7, 'beautiful': 7, 'forward': 7, 'allt': 7, 'frn': 7, 'mat': 11, 'till': 7}",static
267,97,97,Hilton San Diego Airport/harbor Island,3.99,87,1960 Harbor Island Dr,32.724775,-117.209891,0,4,6,17,60,0,9,16,15,47,3.62,"{'room': {24: 3.125}, 'cleanliness': {10: 3.2}, 'pet-friendly': {1: 5.0}, 'comfort': {8: 3.875}, 'bathroom': {1: 2.0}, 'lounge': {1: 5.0}, 'location': {2: 4.0}, 'food': {3: 4.333333333333333}, 'spa': {2: 3.5}, 'quiet': {1: 3.0}, 'service': {4: 2.75}, 'internet': {3: 2.6666666666666665}, 'parking': {1: 4.0}}","{'good': 25, 'breakfast': 12, 'night': 12, 'friendly': 9, 'stay': 8, 'lovely': 7, 'comfortable': 7, 'clean': 7, 'une': 6, 'sans': 6}","{'room': 39, 'blast': 20, 'loved': 20, 'pool': 20, 'hotel': 18, 'gladly': 10, 'moved': 10, 'fine': 10, 'work': 18, 'meals': 8}",static
553,98,98,Super 8 Metropolis,3.54,87,2055 E 5th St,37.162308,-88.690626,0,2,15,24,46,0,2,24,29,32,3.44,"{'comfort': {7: 3.142857142857143}, 'quiet': {1: 3.0}, 'room': {20: 3.1}, 'air-conditioner': {1: 2.0}, 'bathroom': {4: 2.75}, 'cleanliness': {5: 2.4}, 'service': {3: 3.0}, 'sleep': {1: 2.0}, 'location': {2: 2.0}, 'business': {1: 3.0}}","{'room': 21, 'drive': 9, 'bed': 9, 'place': 9, 'breakfast': 9, 'enjoyed': 8, 'good': 8, 'thought': 6, 'starting': 6, 'pillows': 6}","{'good': 28, 'read': 23, 'amenities': 16, 'closer': 16, 'felt': 16, 'needed': 16, 'vacuum': 16, 'deep': 16, 'bit': 14, 'mold': 14}",static
375,99,99,La Quinta Inn Calhoun,4.1,86,150 Cracker Barrel Dr,34.47029,-84.91438,0,3,6,13,64,0,6,9,22,49,3.72,"{'service': {3: 3.0}, 'room': {15: 3.2666666666666666}, 'comfort': {6: 3.1666666666666665}, 'quiet': {5: 3.4}, 'location': {2: 3.0}, 'value': {2: 3.5}, 'spa': {1: 4.0}, 'cleanliness': {5: 3.4}, 'food': {2: 3.5}, 'parking': {3: 4.0}}","{'stay': 48, 'room': 26, 'area': 20, 'breakfast': 20, 'biscuits': 14, 'parking': 13, 'lot': 17, 'comfortable': 10, 'pool': 16, 'time': 12}","{'staff': 10, 'connections': 9, 'external': 9, 'media': 9, 'mini': 8, 'fridge': 8, 'microwave': 8, 'impromptu': 7, 'overnight': 7, 'day': 7}",static
404,100,100,Mccamly Plaza Hotel,3.58,85,50 Capital Ave S W,42.312,-85.19201,0,7,11,18,49,0,11,24,18,32,3.33,"{'comfort': {9: 3.3333333333333335}, 'location': {3: 3.6666666666666665}, 'lounge': {2: 3.0}, 'pet-friendly': {3: 2.6666666666666665}, 'quiet': {3: 5.0}, 'room': {14: 2.857142857142857}, 'cleanliness': {7: 4.714285714285714}, 'sleep': {1: 2.0}, 'service': {1: 5.0}, 'parking': {1: 4.0}, 'bathroom': {1: 2.0}, 'internet': {1: 5.0}}","{'good': 13, 'water': 9, 'facility': 8, 'pool': 7, 'basic': 6, 'save': 5, 'money': 5, 'compared': 5, 'area': 5, 'free': 5}","{'room': 87, 'nice': 46, 'pool': 35, 'big': 26, 'view': 26, 'movie': 22, 'desk': 16, 'wealth': 16, 'normal': 16, 'channels': 13}",static
94,101,101,Cherokee Lodge Bed and Breakfast,4.4,85,964 D Ave,32.686698,-117.180913,0,1,3,4,77,0,1,5,18,61,4.19,"{'room': {8: 4.125}, 'cleanliness': {5: 4.2}, 'pet-friendly': {2: 3.0}, 'location': {1: 4.0}, 'value': {3: 4.0}, 'internet': {1: 5.0}, 'quiet': {2: 3.0}, 'sleep': {1: 4.0}, 'lounge': {1: 4.0}, 'food': {1: 3.0}}","{'area': 18, 'room': 20, 'nice': 15, 'helpful': 13, 'lot': 12, 'spend': 11, 'place': 11, 'good': 11, 'clean': 10, 'pool': 9}","{'great': 16, 'job': 16, 'managing': 16, 'pleasant': 16, 'carpet': 11, 'staff': 4, 'friendly': 4, 'pool': 4, 'super': 4, 'tiffany': 1}",static
129,102,102,Country Inn and Suites By Carlson Charlotte University Place,4.05,85,131 E Mccullough Dr,35.30077,-80.7538,0,6,6,7,66,0,4,16,20,45,3.67,"{'business': {1: 4.0}, 'room': {20: 3.2}, 'lounge': {2: 4.5}, 'quiet': {3: 3.6666666666666665}, 'cleanliness': {8: 3.375}, 'service': {3: 2.3333333333333335}, 'cafe': {4: 4.5}, 'comfort': {2: 4.0}, 'value': {1: 2.0}, 'food': {2: 4.5}, 'internet': {2: 2.5}}","{'hotel': 22, 'room': 17, 'clean': 13, 'great': 12, 'downstairs': 12, 'food': 12, 'serves': 10, 'stay': 12, 'experience': 10, 'smelled': 8}","{'great': 18, 'sitting': 15, 'cancelation': 14, 'minutes': 14, 'arrival': 14, 'rates': 13, 'suite': 13, 'room': 15, 'appointed': 11, 'place': 22}",static
257,103,103,Hawthorn Suites By Wyndham Livermore Wine Country,3.93,85,1700 N Livermore Ave,37.698349,-121.77371,0,3,9,15,58,0,6,15,19,45,3.62,"{'spa': {3: 3.6666666666666665}, 'room': {13: 3.230769230769231}, 'cleanliness': {9: 3.111111111111111}, 'bathroom': {1: 4.0}, 'food': {2: 4.0}, 'service': {1: 4.0}, 'parking': {1: 2.0}, 'internet': {3: 3.6666666666666665}, 'pet-friendly': {2: 4.0}, 'comfort': {4: 3.75}, 'gym': {1: 4.0}, 'quiet': {1: 3.0}, 'lounge': {2: 4.0}}","{'area': 17, 'friendly': 17, 'staff': 16, 'good': 15, 'clean': 19, 'credit': 13, 'breakfast': 16, 'food': 10, 'floor': 10, 'negative': 9}","{'pool': 35, 'attendant': 13, 'hot': 13, 'tub': 11, 'area': 11, 'kids': 11, 'bit': 11, 'responsible': 11, 'parents': 11, 'watching': 11}",static
108,104,104,Comfort Inn - Springfield,3.83,84,6560 Loisdale Ct,38.7756,-77.17851,0,3,8,14,59,0,10,12,16,46,3.52,"{'spa': {5: 2.8}, 'room': {13: 2.923076923076923}, 'location': {4: 2.75}, 'parking': {3: 3.6666666666666665}, 'comfort': {2: 4.5}, 'cleanliness': {7: 3.2857142857142856}, 'service': {5: 3.4}}","{'hotel': 35, 'travel': 14, 'stay': 14, 'clean': 12, 'preface': 10, 'review': 10, 'wife': 10, 'needed': 10, 'lobby': 9, 'attentive': 8}","{'room': 19, 'stay': 29, 'dirty': 15, 'blocks': 12, 'staff': 12, 'great': 12, 'suggestions': 12, 'family': 11, 'good': 11, 'spacious': 11}",static
280,105,105,Holiday Inn Express Colton-riverside North,3.23,84,2830 S Iowa Ave,34.020339,-117.338229,0,13,10,21,40,0,13,21,16,34,3.26,"{'comfort': {7: 2.0}, 'bathroom': {3: 2.3333333333333335}, 'room': {14: 2.4285714285714284}, 'cleanliness': {8: 2.375}, 'location': {2: 2.0}, 'parking': {2: 4.0}, 'service': {1: 4.0}, 'quiet': {1: 4.0}, 'business': {1: 2.0}, 'sleep': {2: 2.0}, 'internet': {1: 3.0}, 'spa': {1: 2.0}, 'pet-friendly': {1: 5.0}, 'value': {1: 2.0}}","{'stay': 24, 'hotel': 13, 'place': 6, 'enjoyed': 6, 'cruise': 6, 'breakfast': 5, 'night': 8, 'dated': 4, 'deep': 4, 'clean': 4}","{'great': 20, 'staff': 16, 'hotel': 14, 'bed': 39, 'comfortable': 13, 'friendly': 13, 'super': 12, 'warm': 12, 'breakfast': 12, 'stay': 12}",static
557,106,106,Super 8 Schenect/albany Area,3.27,84,3083 Carman Rd,42.764084,-73.939324,0,10,11,22,41,0,11,16,28,29,3.22,"{'service': {1: 2.0}, 'location': {3: 2.6666666666666665}, 'gym': {1: 2.0}, 'room': {16: 3.0}, 'cleanliness': {7: 2.857142857142857}, 'comfort': {2: 2.0}, 'food': {1: 1.0}, 'internet': {2: 3.5}, 'sleep': {1: 2.0}, 'spa': {1: 3.0}, 'quiet': {1: 2.0}}","{'breakfast': 25, 'hot': 24, 'pool': 15, 'time': 14, 'nice': 12, 'tub': 11, 'change': 10, 'morning': 10, 'things': 8, 'staff': 8}","{'room': 18, 'place': 20, 'town': 11, 'recommend': 9, 'suite': 9, 'bath': 9, 'yrs': 9, 'friendly': 9, 'location': 9, 'activities': 9}",static
472,107,107,Ramada Vandalia,3.64,84,2707 Veterans Ave,38.97034343,-89.12880845,1,3,11,19,50,0,5,15,29,35,3.55,"{'location': {4: 3.75}, 'room': {11: 3.090909090909091}, 'cleanliness': {5: 3.4}, 'parking': {1: 4.0}, 'pet-friendly': {1: 4.0}, 'business': {3: 3.3333333333333335}, 'quiet': {1: 2.0}, 'comfort': {7: 3.5714285714285716}, 'internet': {4: 2.75}, 'lounge': {1: 3.0}, 'service': {1: 3.0}, 'spa': {1: 4.0}, 'food': {2: 3.5}, 'gym': {1: 2.0}}","{'room': 10, 'close': 7, 'staff': 7, 'friendly': 7, 'helpful': 6, 'enjoyed': 6, 'warm': 8, 'pool': 6, 'hot': 10, 'tub': 6}","{'room': 23, 'clean': 12, 'evening': 12, 'great': 10, 'friendly': 10, 'staff': 10, 'eating': 9, 'gym': 9, 'couple': 9, 'minutes': 9}",static
82,108,108,Candlewood Suites Eugene Springfield,4.44,84,3005 Franklin Blvd,44.04401959,-123.0476193,0,0,3,14,67,0,5,9,24,46,3.73,"{'room': {15: 3.7333333333333334}, 'cleanliness': {6: 3.6666666666666665}, 'location': {1: 4.0}, 'quiet': {2: 3.0}, 'sleep': {2: 4.0}, 'comfort': {2: 3.0}, 'bathroom': {2: 4.0}, 'lounge': {1: 4.0}, 'internet': {1: 4.0}, 'value': {1: 4.0}, 'service': {2: 4.0}, 'spa': {1: 1.0}}","{'room': 18, 'clean': 7, 'good': 7, 'pay': 6, 'cold': 6, 'location': 6, 'managed': 6, 'easy': 5, 'quiet': 5, 'upset': 5}","{'hotel': 18, 'brand': 7, 'pleased': 7, 'things': 6, 'higher': 6, 'rating': 6, 'unsafe': 5, 'stained': 3, 'hairs': 3, 'counter': 3}",static
207,109,109,Fairfield Inn Saginaw,4.37,84,5200 Fashion Square Blvd,43.48418,-83.96907,0,0,0,13,71,0,0,8,22,54,4.04,"{'comfort': {5: 3.4}, 'room': {12: 3.75}, 'cleanliness': {6: 3.8333333333333335}, 'service': {4: 4.25}, 'food': {3: 3.6666666666666665}, 'sleep': {1: 5.0}, 'value': {2: 4.0}, 'location': {5: 3.8}, 'quiet': {3: 3.3333333333333335}, 'cafe': {1: 5.0}, 'spa': {1: 4.0}, 'bathroom': {1: 3.0}, 'lounge': {1: 2.0}}","{'hotel': 42, 'staff': 26, 'stay': 17, 'good': 13, 'easy': 13, 'station': 10, 'helpful': 11, 'size': 10, 'close': 10, 'metro': 10}","{'redire': 10, 'elevator': 8, 'hotel': 7, 'worlds': 7, 'smallest': 7, 'cozy': 5, 'helpful': 5, 'morning': 2, 'breakfast': 2, 'offered': 2}",static
328,110,110,Hotel Silken Siete Coronas,4.39,83,Paseo De Garay 5,37.981858,-1.124223,0,0,2,4,77,0,5,9,18,51,3.89,"{'room': {12: 3.5833333333333335}, 'location': {4: 4.25}, 'food': {1: 3.0}, 'quiet': {3: 4.0}, 'bathroom': {2: 3.5}, 'cleanliness': {6: 4.166666666666667}, 'internet': {2: 2.0}, 'lounge': {1: 1.0}, 'air-conditioner': {2: 4.5}, 'comfort': {2: 4.0}, 'service': {2: 2.0}, 'value': {1: 5.0}}","{'place': 20, 'staff': 11, 'hotel': 13, 'night': 11, 'maker': 10, 'price': 8, 'alarm': 7, 'bases': 7, 'charming': 7, 'upper': 7}","{'surprised': 12, 'pleasantly': 7, 'stay': 8, 'laundry': 7, 'facilities': 7, 'road': 5, 'month': 5, 'pleased': 5, 'cab': 5, 'dinner': 5}",static
203,111,111,Fairfield Inn & Suites Atlanta Perimeter Center,3.72,83,1145 Hammond Dr N E,33.918756,-84.3485,0,5,8,17,53,0,10,19,10,44,3.49,"{'room': {18: 3.0555555555555554}, 'internet': {2: 3.0}, 'cleanliness': {11: 3.6363636363636362}, 'food': {1: 3.0}, 'service': {3: 3.6666666666666665}, 'comfort': {4: 3.0}, 'location': {2: 4.0}, 'value': {1: 2.0}}","{'clean': 27, 'breakfast': 14, 'supplied': 11, 'nice': 9, 'close': 9, 'stay': 9, 'courteous': 6, 'proximity': 6, 'enjoyable': 5, 'pretty': 5}","{'room': 77, 'family': 25, 'returned': 25, 'week': 25, 'additional': 25, 'issues': 17, 'cracks': 17, 'walls': 17, 'town': 17, 'staff': 16}",static
35,112,112,Baymont Inn and Suites Boone,2.86,83,1745 S E Marshall St,42.035281,-93.876328,1,14,18,20,30,0,13,23,28,19,3.0,"{'room': {16: 2.875}, 'cleanliness': {11: 3.090909090909091}, 'sleep': {1: 3.0}, 'comfort': {4: 3.0}, 'quiet': {1: 3.0}, 'internet': {2: 2.0}, 'value': {1: 2.0}, 'pet-friendly': {2: 3.0}, 'service': {1: 2.0}, 'lounge': {1: 1.0}, 'food': {1: 2.0}, 'location': {1: 1.0}}","{'room': 14, 'clean': 10, 'affordable': 7, 'nightly': 6, 'comfortable': 6, 'indoor': 6, 'pool': 6, 'refresh': 6, 'stay': 7, 'nice': 4}","{'clean': 26, 'money': 17, 'continental': 16, 'work': 19, 'pretty': 14, 'stopping': 14, 'point': 14, 'hotel': 14, 'comfy': 13, 'positive': 10}",static
